g	f	4D (4th Dimension)	ADABAS	Adaptive Server Enterprise	AllegroGraph	Apache Derby	CUBRID	DB2	Datacom	Empress	FileMaker	Firebird	FrontBase	Full Convert	HP NonStop SQL	HSQLDB	ITTIA DB SQL	InterBase	Invantive Query Tool	Linter	MariaDB	MarkLogic 	Microsoft Access	Microsoft SQL Server	Microsoft SQL Server Compact	MyDatabase	Nexusdb	NuoDB	Omnis Studio	OpenBase SQL	OpenEdge	OpenLink Virtuoso	Polyhedra	Postgres Advanced Server	R:Base	RDM Embedded	ScimoreDB	SmallSQL	Teradata	Valentina	VelocityDB	XtraBuild Designer	mSQL
Features	Import Data		0.0		1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
Features	Integrated Storage Manager		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	1.0	0.0		1.0		1.0		1.0	1.0	0.0	0.0	0.0		0.0				0.0	0.0				0.0	0.0
Features	Internet Protocol Support		0.0		1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	1.0	0.0			1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0
Features	Java Support				1.0	0.0	1.0	1.0	0.0		0.0		0.0	0.0		0.0	1.0		0.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0	1.0	1.0	0.0		0.0			0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Features	Kiosk Maker					0.0	0.0	0.0			1.0		0.0			0.0					0.0						0.0		0.0														0.0
Features	Multi-Core Support		0.0		1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0		0.0	1.0	1.0			1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0		0.0	1.0			0.0	1.0	1.0	0.0	1.0
Features	Multiple Data Access Command Sets				0.0	0.0	0.0	0.0	1.0		0.0		0.0			0.0					0.0	0.0	0.0	0.0		0.0	1.0		0.0	0.0		1.0			0.0	0.0			0.0	0.0	0.0		1.0
Features	Multiple Threads		0.0		1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0		0.0	1.0	1.0			1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0			0.0	1.0	1.0	0.0	0.0
Features	Network Protocols Supported		0.0		1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	1.0	0.0			0.0		0.0		0.0		1.0	0.0	0.0	0.0	1.0		0.0									0.0	0.0
Features	Open Source		0.0			0.0	1.0	0.0		0.0	0.0	1.0	0.0			0.0		0.0	0.0	0.0	1.0				0.0		0.0		0.0		0.0		0.0				0.0	1.0					0.0
Features	Parallel Processing		0.0		1.0				0.0	0.0		0.0		0.0	1.0		0.0	1.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
Features	Real Time Access to Database				1.0	0.0	1.0	0.0	1.0		0.0		0.0	0.0	1.0	0.0	0.0		1.0	0.0	1.0	0.0	0.0	1.0		0.0	0.0	1.0	0.0	0.0		1.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
